Dialogue_id	Utterance_id	Text	Label	Start_timestamp	End_timestamp	Source	speaker_name
0	0	so without further ado, to welcome our newest part-time employee, emma dubanowski.	Introduce	00:00:02,035	00:00:09,309	superstore	Glenn
0	3	oh, i keep a copy of all the photos employees get developed here.	Inform	00:00:31,064	00:00:33,901	superstore	Glenn
0	5	anyway, over the years, we've watched amy's daughter emma grow.	Inform	00:00:44,144	00:00:51,184	superstore	Glenn
0	7	oh, also, starting today is kelly watson.	Inform	00:01:15,776	00:01:19,947	superstore	Glenn
0	8	hi, everyone.	Greet	00:01:19,980	00:01:22,916	superstore	Kelly
1	0	oh, excuse me.	Greet	00:01:31,759	00:01:34,828	superstore	Nico
1	1	um, i don't know his name, and an amazing butt?	Ask for help	00:01:37,865	00:01:42,903	superstore	Nico
1	2	okay. well, thank you.	Thank	00:01:46,406	00:01:49,643	superstore	Nico
1	7	this whole job is standing places.	Introduce	00:02:07,895	00:02:09,963	superstore	Nico
1	8	okay.	Agree	00:02:11,131	00:02:12,132	superstore	Cheyenne
3	0	dina, i'm with a customer right now.	Inform	00:03:37,818	00:03:39,820	superstore	Garrett
3	1	oh. i'm sorry.	Apologise	00:03:39,853	00:03:42,155	superstore	Dina
3	2	step back, please. can i just put this-step back.	Arrange	00:03:42,189	00:03:45,225	superstore	Dina
3	3	i have been experiencing some anxiety recently, and...	Complain	00:03:47,995	00:03:52,499	superstore	Dina
3	5	okay. well, um, maybe we just take a little break.	Advise	00:04:01,474	00:04:05,512	superstore	Garrett
3	7	yeah, that would probably be good.	Agree	00:04:08,882	00:04:10,183	superstore	Dina
5	3	uh, inside joke. you wouldn't get it.	Taunt	00:05:07,374	00:05:10,277	superstore	superstore person1
6	1	i thought latinos don't care if their kids like them.	Taunt	00:05:55,355	00:05:56,623	superstore	Jonah
6	2	i really think you're painting with too broad a cultural brush here.	Taunt	00:05:56,656	00:05:59,359	superstore	Amy
6	4	you're an intense mom.	Taunt	00:06:15,175	00:06:17,110	superstore	Jonah
6	5	i do not want to be around when emma starts dating.	Taunt	00:06:17,144	00:06:19,212	superstore	Jonah
6	6	why would you even mention that?	Criticize	00:06:19,246	00:06:21,949	superstore	Amy
7	0	hey.	Greet	00:06:35,295	00:06:36,329	superstore	Garrett
7	1	hey...garrett.	Greet	00:06:36,363	00:06:39,232	superstore	Cheyenne
7	2	how's it going, big guy?	Care	00:06:39,266	00:06:40,700	superstore	Glenn
